ESNTL_ID,FCLTY_MANAGE_NO,ACDNT_YEAR,ACDNT_TY_NM,ZONE_CD,SIGNGU_NM,ACDNT_CAS_CO,CASLT_CO,DEATH_CO,SWPSN_CO,SINJPSN_CO,INJPSN_CO,FCLTY_LA,FCLTY_LO,SIGNGU_ACCTO_POPLTN_CO,RATE_VALUE
"KCISFPO24N000000001","6967618","2024","교통사고","11110001","서울 종로구 창신동(동묘앞역교차로 부근)","46.00000","56.00000","1.00000","15.00000","39.00000","1.00000","37.57232748","127.0151989","167487","0.02746"
"KCISFPO24N000000002","6967619","2024","교통사고","11110002","서울 종로구 세종로(광화문교차로 부근)","45.00000","73.00000","0.00000","6.00000","59.00000","8.00000","37.57541641","126.9781525","167487","0.02687"
"KCISFPO24N000000003","6967620","2024","교통사고","11110003","서울 종로구 평동(서대문역 5호선 부근)","41.00000","55.00000","0.00000","9.00000","42.00000","4.00000","37.56608267","126.9668989","167487","0.02448"
"KCISFPO24N000000004","6967621","2024","교통사고","11140001","서울 중구 남대문로2가(한국은행앞교차로 부근)","39.00000","52.00000","0.00000","10.00000","37.00000","5.00000","37.56121004","126.9814488","151422","0.02576"
"KCISFPO24N000000005","6967622","2024","교통사고","11140002","서울 중구 태평로2가(시청교차로 부근)","34.00000","48.00000","0.00000","5.00000","42.00000","1.00000","37.56410522","126.9778714","151422","0.02245"
"KCISFPO24N000000006","6967623","2024","교통사고","11140003","서울 중구 신당동(약수역사거리 부근)","33.00000","41.00000","0.00000","9.00000","29.00000","3.00000","37.55484594","127.0108839","151422","0.02179"
"KCISFPO24N000000007","6967624","2024","교통사고","11170001","서울 용산구 한남동(한남오거리 부근)","43.00000","60.00000","1.00000","14.00000","44.00000","1.00000","37.53326963","127.0064917","232639","0.01848"
"KCISFPO24N000000008","6967625","2024","교통사고","11170002","서울 용산구 한강로2가(전자상가입구교차로 부근)","29.00000","37.00000","0.00000","9.00000","28.00000","0.00000","37.52931899","126.9670935","232639","0.01247"
"KCISFPO24N000000009","6967626","2024","교통사고","11170003","서울 용산구 이태원동(이태원역교차로 부근)","29.00000","33.00000","0.00000","3.00000","30.00000","0.00000","37.53432609","126.9944953","232639","0.01247"
"KCISFPO24N000000010","6967627","2024","교통사고","11200001","서울 성동구 성수동1가(성수대교북단교차로 부근)","34.00000","48.00000","0.00000","6.00000","42.00000","0.00000","37.54441283","127.0354431","273609","0.01243"
"KCISFPO24N000000011","6967628","2024","교통사고","11200002","서울 성동구 성수동2가(영동대교북단교차로 부근)","31.00000","37.00000","0.00000","5.00000","26.00000","6.00000","37.53639798","127.0605672","273609","0.01133"
"KCISFPO24N000000012","6967629","2024","교통사고","11200003","서울 성동구 성수동1가(성동교교차로 부근)","28.00000","40.00000","0.00000","5.00000","33.00000","2.00000","37.55170365","127.0444096","273609","0.01023"
"KCISFPO24N000000013","6967630","2024","교통사고","11215001","서울 광진구 화양동(건대입구역교차로 부근)","36.00000","43.00000","0.00000","2.00000","40.00000","1.00000","37.5408159","127.069922","346378","0.01039"
