순서	컬럼영문명	컬럼한글명	데이터타입	길이	PK여부	NOT NULL여부
1	ESNTL_ID	고유ID	VARCHAR	50	Y	Y
2	FCLTY_MANAGE_NO	시설관리번호	VARCHAR	20	N	N
3	ACDNT_YEAR	사고년도	VARCHAR	4	N	N
4	ACDNT_TY_NM	사고유형명	VARCHAR	200	N	N
5	ZONE_CD	구역코드	VARCHAR	30	N	N
6	SIGNGU_NM	시군구명	VARCHAR	200	N	N
7	ACDNT_CAS_CO	사고건수	DECIMAL	28,5	N	N
8	CASLT_CO	사상자수	DECIMAL	28,5	N	N
9	DEATH_CO	사망수	DECIMAL	28,5	N	N
10	SWPSN_CO	중상자수	DECIMAL	28,5	N	N
11	SINJPSN_CO	경상자수	DECIMAL	28,5	N	N
12	INJPSN_CO	부상자수	DECIMAL	28,5	N	N
13	FCLTY_LA	시설위도	VARCHAR	20	N	N
14	FCLTY_LO	시설경도	VARCHAR	20	N	N
15	SIGNGU_ACCTO_POPLTN_CO	시군구별인구수	DECIMAL	38	N	N
16	RATE_VALUE	비율값	DECIMAL	28,5	N	N
